,group_name,n_user_recommend,n_user_timeline,posts_per_day,n_members,n_user_recommend_by_friend,n_panelists,%_user_recommend,is_political,group_slug
1,The Far Side,365,60,158000.0,1100000.0,144.0,1215,30.041152263374485,False,1745254632988727
2,The Marriage Club,175,2,20000.0,929000.0,29.0,1215,14.403292181069961,False,themarriage
3,Weird Secondhand Finds That Just Need To Be Shared,172,15,6600.0,2000000.0,17.0,1215,14.156378600823045,False,WeirdSecondhandFinds
4,"DIY,Ideas,Projects,Crafts and more",163,0,270.0,583000.0,0.0,1215,13.415637860082304,False,diycrafters
5,The Dodo,156,0,250.0,74000.0,3.0,1215,12.839506172839506,False,1465656230308941
6,Instant Pot® Community,149,9,5100.0,2800000.0,19.0,1215,12.263374485596707,False,InstantPotCommunity
7,Doggy Memes & Videos,147,2,13000.0,627000.0,25.0,1215,12.098765432098766,False,298677437407106
8,Air Fryer Tips and Recipes,140,3,1200.0,1000000.0,48.0,1215,11.522633744855964,False,1522233111383384
9,Good Ole Soul Food Recipes,132,13,26000.0,1300000.0,39.0,1215,10.864197530864198,False,goodolesoulfoodrecipes
10,Field and Barn Finds-Classic Cars/Trucks For Sale or Trade,129,1,2600.0,421000.0,38.0,1215,10.617283950617283,False,fieldandbarnfinds
11,Disapproving Corgis,122,5,2800.0,1000000.0,27.0,1215,10.041152263374485,False,555989291132852
12,1970s ✌ doyouremember.com,109,29,42000.0,804000.0,31.0,1215,8.97119341563786,False,DoYouRememberThe70sFanClub
13,Steve Schmidt fan club,99,3,210.0,55000.0,2.0,1215,8.148148148148149,True,2645436679003881
14,Doggo,97,0,2700.0,61000.0,6.0,1215,7.983539094650206,False,209944383373686
15,Relationship Love Quotes,95,0,60.0,193000.0,0.0,1215,7.818930041152264,False,1673727879506684
16,Dad Jokes Everywhere,94,10,33000.0,754000.0,46.0,1215,7.736625514403293,False,1270525996445602
17,80s/90s/ Early 2000s Nostalgia Haven,93,26,62000.0,849000.0,51.0,1215,7.654320987654321,False,havenfornostalgia
18,Dr. Fauci Fan Club,88,1,280.0,48000.0,2.0,1215,7.242798353909465,True,540034209975584
19,Dogspotting,87,7,2200.0,1800000.0,11.0,1215,7.160493827160495,False,dogspotting
20,Cheap Meal Ideas,85,10,47000.0,1300000.0,40.0,1215,6.995884773662549,False,cheapmealideas
21,Our Relationship Rules,85,0,9.0,12000.0,3.0,1215,6.995884773662549,False,1556129071349255
22,Cheap Cars for Sale by Owner,85,0,710.0,292000.0,0.0,1215,6.995884773662549,False,CheapCarsforSalebyOwner
23,Love Quotes,83,0,20.0,20000.0,1.0,1215,6.831275720164609,False,dailybestquotes
24,So in Love,80,0,260.0,38000.0,1.0,1215,6.584362139917697,False,947903761936913
25,❤️Love Life  ❤️,77,0,200.0,378000.0,0.0,1215,6.337448559670782,False,1776625369264636
26,ALDI Aisle of Shame Community,76,3,4200.0,412000.0,39.0,1215,6.255144032921812,False,aldiaisleofshame
27,Lincoln Project Americans Protecting Democracy,76,3,2000.0,33000.0,2.0,1215,6.255144032921812,True,2363529640618134
28,The Far Side,75,5,18000.0,171000.0,62.0,1215,6.172839506172839,False,franksthefarside
29,Instant Pot Recipes Only,73,2,200.0,1300000.0,20.0,1215,6.008230452674898,False,iproinstantpotrecipesonly
30,Star Trek Memes,73,4,10000.0,197000.0,37.0,1215,6.008230452674898,False,337634486811277
31,THIS CAT IS C H O N K Y,72,12,1900.0,854000.0,38.0,1215,5.925925925925927,False,133018060894811
32,Positive Quotes,72,14,86000.0,1900000.0,23.0,1215,5.925925925925927,False,vibeswithquotes
33,Relationship Goals 💗,71,0,8900.0,982000.0,9.0,1215,5.843621399176955,False,relationshipsandgoals
34,Cool Dog Group,70,1,380.0,770000.0,13.0,1215,5.761316872427982,False,cooldogpictures
35,TRUE LOVE STORY,70,0,80.0,375000.0,0.0,1215,5.761316872427982,False,186097875088248
36,Funny Huskies,68,1,3000.0,80000.0,3.0,1215,5.5967078189300405,False,446189602763629
37,Cast Iron Cooking,67,0,560.0,375000.0,0.0,1215,5.51440329218107,False,castironskillet
38,Please show to Jim ! ! HA ! ! HA ! !,66,2,150.0,350000.0,5.0,1215,5.432098765432099,False,pleaseshowtojimhaha
39,Calvin and Hobbes Ride Again,65,7,7000.0,200000.0,47.0,1215,5.349794238683128,False,1951125591822299
40,In The Kitchen With EmmyMade,65,0,120.0,117000.0,2.0,1215,5.349794238683128,False,343755586608448
41,Funny Trump Memes,65,0,1300.0,5900.0,3.0,1215,5.349794238683128,True,371172480674337
42,Relationship quotes,64,1,21000.0,559000.0,0.0,1215,5.267489711934156,False,652804825212215
43,Last Week Tonight with John Oliver,63,1,100.0,49000.0,2.0,1215,5.185185185185184,True,1003058063051602
44,Joe BIDEN POTUS 46 Official,63,0,750.0,16000.0,1.0,1215,5.185185185185184,True,264505438307329
45,Extreme Love Group,62,0,10.0,107000.0,0.0,1215,5.102880658436214,False,921620331341198
46,Amazing World,61,0,1000.0,182000.0,8.0,1215,5.020576131687243,False,AmazingAnimalsAndBeautifulNature
