,group_name,n_user_recommend,n_user_timeline,posts_per_day,n_members,n_user_recommend_by_friend,n_panelists,%_user_recommend,is_political,group_slug
1,The Far Side,132,60,158000.0,1100000.0,62.0,508,25.98425196850393,False,1745254632988727
2,Tucker Carlson Fox News,101,0,5000.0,58000.0,0.0,508,19.88188976377953,True,178197966731647
3,"Candace Owens For POTUS, 2024",97,0,40.0,58000.0,0.0,508,19.094488188976378,True,947518145661250
4,Kayleigh McEnany Fan Club,94,5,22000.0,432000.0,3.0,508,18.50393700787401,True,276509750213182
5,"DIY,Ideas,Projects,Crafts and more",87,0,270.0,583000.0,0.0,508,17.125984251968504,False,diycrafters
6,Patriot Room (formerly Leo Terrell 2.0),81,0,3500.0,19000.0,1.0,508,15.94488188976378,True,863804630824684
7,Field and Barn Finds-Classic Cars/Trucks For Sale or Trade,75,1,2600.0,421000.0,27.0,508,14.763779527559054,False,fieldandbarnfinds
8,1970s ✌ doyouremember.com,75,29,42000.0,804000.0,19.0,508,14.763779527559054,False,DoYouRememberThe70sFanClub
9,Official Kayleigh McEnany page! No spam or trolls allowed this time!,69,0,530.0,30000.0,0.0,508,13.582677165354333,True,2809700542644044
10,The Dodo,65,0,250.0,74000.0,2.0,508,12.795275590551181,False,1465656230308941
11,Win The Win,58,0,10000.0,56000.0,1.0,508,11.41732283464567,False,winthewin
12,Cast Iron Cooking,54,0,560.0,375000.0,0.0,508,10.62992125984252,False,castironskillet
13,Dad Jokes Everywhere,53,10,39000.0,755000.0,21.0,508,10.433070866141733,False,1270525996445602
14,Air Fryer Tips and Recipes,51,3,1200.0,1000000.0,11.0,508,10.039370078740156,False,1522233111383384
15,Instant Pot® Community,50,9,5100.0,2800000.0,3.0,508,9.842519685039367,False,InstantPotCommunity
16,Candace Owens 2024 🇺🇸,49,0,430.0,39000.0,1.0,508,9.645669291338582,True,2601769136807206
17,The Marriage Club,48,2,20000.0,927000.0,10.0,508,9.448818897637793,False,themarriage
18,Doggy Memes & Videos,45,2,13000.0,627000.0,7.0,508,8.858267716535432,False,298677437407106
19,Dan Crenshaw for POTUS 2024,44,0,380.0,107000.0,1.0,508,8.661417322834646,True,729428207525540
20,Rudy Giuliani [Common Sense],42,0,370.0,2500.0,0.0,508,8.267716535433072,True,1655614634580136
21,Funny Christmas Memes!,42,1,16000.0,41000.0,11.0,508,8.267716535433072,False,1736565846669665
22,Dan Bongino Fans,40,0,170.0,6800.0,0.0,508,7.8740157480314945,True,196825617434365
23,Ben Shapiro Fans,38,0,150.0,18000.0,0.0,508,7.480314960629923,True,107780406719749
24,Positive Quotes,38,14,86000.0,1900000.0,14.0,508,7.480314960629923,False,vibeswithquotes
25,FreebieShark's Official Group,37,3,20.0,36000.0,16.0,508,7.283464566929133,False,355345221879011
26,The Far Side,37,5,14000.0,172000.0,33.0,508,7.283464566929133,False,franksthefarside
27,Kayleigh McEnany Supporters and Fans,37,0,1000.0,60000.0,0.0,508,7.283464566929133,True,696410211155601
28,Dhar Mann Official FAN page- Asia/Middle East/Europe/Africa,35,1,2300.0,176000.0,3.0,508,6.889763779527558,False,715765915844430
29,One America News Network  ✅  (Fan Group),34,0,390.0,12000.0,0.0,508,6.692913385826772,True,One.America.News.Network.Fan.Group
30,Cheap Meal Ideas,33,10,47000.0,1300000.0,12.0,508,6.496062992125983,False,cheapmealideas
31,Victor Davis Hanson Fan Club,33,0,1300.0,55000.0,0.0,508,6.496062992125983,True,2658044477648470
32,DIY Farmhouse Vintage Shabby Chic (Original),32,0,310.0,367000.0,0.0,508,6.299212598425196,False,diyfarmhousevintageshabbychic
33,Reinstate Amiri King!,32,0,230.0,2500.0,0.0,508,6.299212598425196,True,661052701491084
34,Good Old Days,32,23,41000.0,466000.0,8.0,508,6.299212598425196,False,goodoldday
35,Good Ole Soul Food Recipes,32,13,26000.0,1300000.0,13.0,508,6.299212598425196,False,goodolesoulfoodrecipes
36,Feisty Soul Tribe ~ The Group,31,8,40000.0,552000.0,13.0,508,6.102362204724409,False,1162197647167305
37,5-Minute Diy Arts & Crafts,31,0,680.0,1100000.0,1.0,508,6.102362204724409,False,429942787554685
38,Trey Gowdy: The Legend with Great Hair,31,0,130.0,137000.0,0.0,508,6.102362204724409,True,206779539732204
