,group_name,n_user_recommend,n_user_timeline,posts_per_day,n_members,group_slug
16,Kayleigh McEnany Fan Club,135,5,22000.0,432000.0,276509750213182
22,"Candace Owens For POTUS, 2024",125,0,40.0,58000.0,947518145661250
25,Tucker Carlson Fox News,118,0,5000.0,58000.0,178197966731647
34,Steve Schmidt fan club,102,3,210.0,55000.0,2645436679003881
41,Patriot Room (formerly Leo Terrell 2.0),91,0,3500.0,19000.0,863804630824684
44,Dr. Fauci Fan Club,90,1,280.0,48000.0,540034209975584
48,Official Kayleigh McEnany page! No spam or trolls allowed this time!,86,0,530.0,30000.0,2809700542644044
62,Lincoln Project Americans Protecting Democracy,76,3,2000.0,33000.0,2363529640618134
77,Joe BIDEN POTUS 46 Official,70,0,750.0,16000.0,264505438307329
78,Funny Trump Memes,70,0,1300.0,5900.0,371172480674337
86,Last Week Tonight with John Oliver,64,1,100.0,49000.0,1003058063051602
100,Candace Owens 2024 🇺🇸,59,0,430.0,39000.0,2601769136807206
