,group_name,n_user_recommend,n_user_timeline,posts_per_day,n_members,n_user_recommend_by_friend,n_panelists,%_user_recommend,political_lean,group_slug
2,Tucker Carlson Fox News,101,0,5000.0,58000.0,0.0,508,19.88188976377953,R,178197966731647
3,"Candace Owens For POTUS, 2024",97,0,40.0,58000.0,0.0,508,19.094488188976378,R,947518145661250
4,Kayleigh McEnany Fan Club,94,5,22000.0,432000.0,3.0,508,18.503937007874015,R,276509750213182
6,Patriot Room (formerly Leo Terrell 2.0),81,0,3500.0,19000.0,1.0,508,15.94488188976378,R,863804630824684
9,Official Kayleigh McEnany page! No spam or trolls allowed this time!,69,0,530.0,30000.0,0.0,508,13.582677165354331,R,2809700542644044
16,Candace Owens 2024 🇺🇸,49,0,430.0,39000.0,1.0,508,9.645669291338582,R,2601769136807206
19,Dan Crenshaw for POTUS 2024,44,0,380.0,107000.0,1.0,508,8.661417322834646,R,729428207525540
20,Rudy Giuliani [Common Sense],42,0,370.0,2500.0,0.0,508,8.267716535433072,R,1655614634580136
22,Dan Bongino Fans,40,0,170.0,6800.0,0.0,508,7.874015748031496,R,196825617434365
23,Ben Shapiro Fans,38,0,150.0,18000.0,0.0,508,7.480314960629922,R,107780406719749
27,Kayleigh McEnany Supporters and Fans,37,0,1000.0,60000.0,0.0,508,7.283464566929133,R,696410211155601
29,One America News Network  ✅  (Fan Group),34,0,390.0,12000.0,0.0,508,6.692913385826772,R,One.America.News.Network.Fan.Group
31,Victor Davis Hanson Fan Club,33,0,1300.0,55000.0,0.0,508,6.496062992125983,R,2658044477648470
33,Reinstate Amiri King!,32,0,230.0,2500.0,0.0,508,6.299212598425196,R,661052701491084
38,Trey Gowdy: The Legend with Great Hair,31,0,130.0,137000.0,0.0,508,6.102362204724409,R,206779539732204
47,FLOTUS Melania,26,2,380.0,402000.0,2.0,508,5.118110236220472,R,427190421046019
50,Donald J. Trump 2nd Presidential Inauguration Ceremony,26,0,2000.0,27000.0,0.0,508,5.118110236220472,R,826866644813295
56,Fans of One America News Network (OANN),24,0,1000.0,6800.0,0.0,508,4.724409448818897,R,OneAmericaNewsFans
67,Trump Daily Report,22,0,4300.0,111000.0,2.0,508,4.330708661417323,R,2098968433466112
85,Donald Trump Is Our President - The Group,19,0,1200.0,169000.0,3.0,508,3.740157480314961,R,DTIOP
91,Women for Trump,18,0,270.0,21000.0,0.0,508,3.543307086614173,R,387158605653732
98,The Ben Shapiro Show Memes and Discussion,18,0,40.0,9100.0,1.0,508,3.543307086614173,R,benshapiromemes
100,Dr. Steve Turley Fans,18,0,170.0,1600.0,0.0,508,3.543307086614173,R,341054530313485
